architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.apply_causal_mask,160,47.200633156171534,46.97696305811405,47.34284104779363,0.08770349169127396,7552.1013049874455,1510.420260997489,0.3687549465325901,25.268529643294684
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.k_proj,160,2.937843868858181,2.8144631069153547,3.0551638919860125,0.09076394043941831,470.05501901730895,94.01100380346179,0.02295190522545454,1.5727542179782854
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.matmul_qk,160,27.762967234593816,27.519009076058865,28.011896880343556,0.10076223380128173,4442.074757535011,888.4149515070021,0.2168981815202642,14.862710807967778
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.out_projection,160,2.9829222534317523,2.830654848366976,3.0648289248347282,0.08038476839803371,477.2675605490804,95.45351210981607,0.023304080104935565,1.5968866166497255
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.q_proj,160,2.939210545446258,2.816254971548915,3.0861080158501863,0.0910225724537394,470.2736872714013,94.05473745428026,0.02296258238629889,1.5734858587544664
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.softmax,160,69.2473544360837,69.0620809327811,69.52946586534381,0.08165239782997862,11079.576709773391,2215.9153419546783,0.5409949565319039,37.07108806143481
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.v_proj,160,2.929962656344287,2.810464007779956,3.259322140365839,0.09454741154837285,468.79402501508594,93.75880500301719,0.022890333252689743,1.5685350658458654
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,attn.weighted_sum,160,7.856734748929739,7.654503919184208,8.146529085934162,0.10212215082053794,1257.0775598287582,251.41551196575165,0.061380740226013586,4.206048131726741
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,block.norm1,160,0.6749239022610709,0.5535611417144537,0.8118620608001947,0.08937370993176187,107.98782436177135,21.59756487235427,0.0052728429864146165,0.3613158021593641
decoder,decoder,gpt3_2p7b,2560,32,32,80,32,10240,1,4096,,4096,prefill,4096,5,float16,cuda,block.norm2,160,0.7100813993019983,0.5636729765683413,0.8318950422108173,0.08149337965179906,113.61302388831973,22.722604777663946,0.005547510932046862,0.3801371229078245
