architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.apply_causal_mask,60,24.096488995322336,23.942423053085804,24.246579967439175,0.08681652118744664,1445.7893397193402,289.15786794386804,0.07059518260348341,12.608125446039804
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.k_proj,120,0.7720682343157629,0.66767493262887,0.899384031072259,0.0907023555053008,92.64818811789155,18.52963762357831,0.004523837310443923,0.8079461827858193
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.matmul_qk,120,14.28040251097021,14.120937092229724,14.495621901005507,0.09936122200515433,1713.6483013164252,342.72966026328504,0.08367423346271607,14.944011661882007
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.out_projection,120,0.7990298365863661,0.6787469610571861,0.9231281001120806,0.08902701734879749,95.88358039036393,19.176716078072786,0.004681815448748239,0.8361606885355977
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.q_proj,120,0.7699177813871453,0.6669699214398861,0.8874170016497374,0.09084970782869844,92.39013376645744,18.478026753291488,0.004511237000315305,0.8056957984833529
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.softmax,120,31.2002357832777,27.432921109721065,34.914297983050346,3.621493839571428,3744.028293993324,748.8056587986648,0.18281388154264278,32.65010821933007
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.v_proj,120,0.763976265443489,0.6588420365005732,0.9119599126279354,0.0909047543554507,91.67715185321867,18.335430370643735,0.004476423430332943,0.7994781807738346
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,attn.weighted_sum,120,4.002605481461312,3.8610550109297037,4.141340963542461,0.09151674830051668,480.31265777535737,96.06253155507147,0.02345276649293737,4.188606234797709
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,block.norm1,120,0.3769648338978489,0.36306888796389103,0.42854086495935917,0.008734769221304561,45.23578006774187,9.047156013548374,0.0022087783236202085,0.39448235927252845
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,block.norm2,120,0.3955238847993314,0.37932489067316055,0.44290791265666485,0.009881439188657583,47.46286617591977,9.492573235183954,0.0023175227624960826,0.4139038477699401
encoder_decoder,encoder_decoder,bart_large,1024,16,16,64,12,4096,1,4096,4096,4096,prefill,4096,5,float16,cuda,block.norm3,60,0.38841803713391226,0.3737888764590025,0.42517995461821556,0.009224259902893613,23.305082228034735,4.661016445606947,0.0011379434681657585,0.2032338959688099
