architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.apply_causal_mask,60,0.29670194489881396,0.2793900202959776,0.3878059796988964,0.021150034356684305,17.802116693928838,3.469093855350781
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.cache_concat,60,0.22096479078754783,0.21327892318367958,0.26211095973849297,0.00937271465683892,13.25788744725287,2.583561082592072
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.k_proj,120,0.22094743908382952,0.174463028088212,0.2801909577101469,0.03916445656624229,26.513692690059543,5.166716406544647
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.matmul_qk,120,0.5199354859845092,0.23478292860090733,0.9919630829244852,0.2830925105082014,62.3922583181411,12.158363169630123
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.out_projection,120,0.23365595455591878,0.14988798648118973,0.5124141462147236,0.09803906996943354,28.038714546710253,5.463897019566179
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.q_proj,120,0.22303087559218207,0.17612706869840622,0.3050870727747679,0.03837287713754677,26.76370507106185,5.215436254280085
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.softmax,120,0.24829551693983376,0.08937506936490536,0.5618210416287184,0.16687831175085696,29.79546203278005,5.806233945792825
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.v_proj,120,0.2233313280157745,0.17427094280719757,0.3320628311485052,0.04304528585161295,26.79975936189294,5.22246214456783
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,attn.weighted_sum,120,0.26116852144089836,0.14003203250467777,0.6425890605896711,0.13608750809286727,31.340222572907805,6.107261030935635
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,block.norm1,120,0.16018906026147306,0.13446295633912086,0.2118388656526804,0.01984212333330659,19.222687231376767,3.745920066934577
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,block.norm2,120,0.16513593145646155,0.14246394857764244,0.20092702470719814,0.01690963245528547,19.816311774775386,3.8615995274895045
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,block.norm3,60,0.14593745581805706,0.1365109346807003,0.18492713570594788,0.0082408382086523,8.756247349083424,1.7063276461386336
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,cross_attn.k_proj,60,0.2484808520724376,0.24262303486466408,0.274046091362834,0.006738390051812998,14.908851124346256,2.905283945444961
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,cross_attn.matmul_qk,60,0.24891883367672563,0.2376630436629057,0.3222071100026369,0.013841109031277887,14.935130020603538,2.910404907131648
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,cross_attn.out_projection,60,0.15647225469971696,0.14745513908565044,0.2084788866341114,0.012043999503127668,9.388335281983018,1.8295024574132488
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,cross_attn.q_proj,60,0.1861910141694049,0.17699087038636208,0.2382071688771248,0.011714305636265533,11.171460850164294,2.176979673648222
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,cross_attn.softmax,60,0.09406614505375425,0.08819089271128178,0.12255995534360409,0.005378331916942833,5.643968703225255,1.099838714956191
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,cross_attn.v_proj,60,0.24682063764582077,0.2405429258942604,0.27446309104561806,0.006327995629566048,14.809238258749247,2.8858724122044044
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,cross_attn.weighted_sum,60,0.15458484025051197,0.14601508155465126,0.20265509374439716,0.010853200523672935,9.275090415030718,1.8074344596100314
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,ff.gelu,120,0.18237048061564565,0.09529502131044865,0.4444778896868229,0.10326728483247626,21.884457673877478,4.264618581565854
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,ff.linear1,120,0.38655293950190145,0.20687910728156567,0.7275480311363935,0.18741928454454893,46.386352740228176,9.039296507821367
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,ff.linear2,120,0.39383640396408737,0.20092702470719814,0.7828439120203257,0.19981509258338093,47.260368475690484,9.209615727131183
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,model.final_norm,10,0.16252067871391773,0.1456949394196272,0.1957109197974205,0.016230489850557795,1.6252067871391773,0.31670362439887073
encoder_decoder,encoder_decoder,t5_base,768,12,12,64,12,3072,1,512,512,512,float16,cuda,model.output_head,5,1.0751559864729643,0.971674919128418,1.1766019742935896,0.09031307036660888,5.375779932364821,1.0475768388511264
