architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,attn.k_proj,60,0.3789936619189878,0.3422719892114401,0.4387840162962675,0.028731583314737654,22.73961971513927,2.028548725081014
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,attn.matmul_qk,60,4.191512641652177,3.477121004834771,5.577536998316646,0.6537811062002407,251.4907584991306,22.434907175840788
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,attn.out_projection,60,0.37465339216093224,0.33072009682655334,0.46361610293388367,0.035669206536566106,22.479203529655933,2.005317601268465
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,attn.q_proj,60,0.38358937405670684,0.35187206231057644,0.47968002036213875,0.028829764644674117,23.01536244340241,2.053147094221557
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,attn.softmax,60,9.015759255271405,7.538400823250413,11.999361915513873,1.430953991656279,540.9455553162843,48.25649814383315
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,attn.v_proj,60,0.37230775924399495,0.34540798515081406,0.4382398910820484,0.027908777963556085,22.338465554639697,1.9927626929909272
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,attn.weighted_sum,60,1.0879351020169754,0.9225599933415651,1.44156813621521,0.15245918058166727,65.27610612101853,5.823130004319606
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,block.norm1,60,0.3020784351974726,0.2712649293243885,0.35552005283534527,0.02369735024445193,18.124706111848354,1.6168629878704577
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,block.norm2,60,0.3124997330208619,0.28796796686947346,0.37612789310514927,0.022170249186556863,18.749983981251717,1.6726425761260653
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,ff.gelu,60,0.3749499136271576,0.32508792355656624,0.4904959350824356,0.043893251922143536,22.496994817629457,2.0069047207976545
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,ff.linear1,60,1.0091985575854778,0.8520320989191532,1.3155201449990273,0.14204466628017604,60.55191345512867,5.401695735432174
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,ff.linear2,60,0.8549168899965783,0.7427211385220289,1.074239844456315,0.10209605765692378,51.2950133997947,4.575909154975497
encoder,encoder,bert_base,768,12,12,64,12,3072,1,2048,2048,,float16,cuda,model.final_norm,5,0.2952063921838999,0.2814719919115305,0.3243200480937958,0.015184227817345486,1.4760319609194994,0.13167338724264774
