architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,attn.k_proj,60,0.24818450522919497,0.24229800328612328,0.2579779829829931,0.0030662505449168902,14.891070313751698,2.9782140627503395,0.005816824341309257,6.347373065693599
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,attn.matmul_qk,60,0.7146955118514597,0.7072780281305313,0.7379008457064629,0.00494587503867105,42.881730711087584,8.576346142217517,0.016750676059018588,18.278494211025453
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,attn.out_projection,60,0.26415316776062053,0.24396111257374287,0.2737210597842932,0.004455765169720244,15.84919006563723,3.169838013127446,0.006191089869389543,6.755775106560403
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,attn.q_proj,60,0.24825482784459987,0.24152989499270916,0.26978482492268085,0.006089097677933052,14.895289670675993,2.9790579341351986,0.00581847252760781,6.34917158198098
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,attn.softmax,60,0.33418381741891307,0.3287589643150568,0.3508708905428648,0.0039496630739374915,20.051029045134783,4.010205809026957,0.007832433220755775,8.546824306040326
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,attn.v_proj,60,0.24913755478337407,0.24050590582191944,0.27580116875469685,0.004972587439608534,14.948253287002444,2.989650657400489,0.00583916144023533,6.371747516729055
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,attn.weighted_sum,60,0.29791761965801317,0.29371981509029865,0.311543932184577,0.003217081396702461,17.87505717948079,3.575011435896158,0.006982444210734684,7.619308357169662
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,block.norm1,60,0.16663036852454147,0.15647616237401962,0.18681096844375134,0.005647670040166826,9.997822111472487,1.9995644222944975,0.0039053992622939404,4.261608161728444
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,block.norm2,60,0.1753303843239943,0.1647628378123045,0.21653808653354645,0.008862877133824084,10.51982305943966,2.103964611887932,0.004109305882593617,4.484112970824237
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,ff.gelu,60,0.20867667238538465,0.19125896506011486,0.24271407164633274,0.005893929409205516,12.520600343123078,2.5041200686246157,0.0048908595090324525,5.33695158976325
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,ff.linear1,60,0.48914358485490084,0.4801149480044842,0.5918568931519985,0.016224515345354098,29.34861509129405,5.86972301825881,0.011464302770036738,12.509954289441199
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,ff.linear2,60,0.49973794957622886,0.49269082956016064,0.5448500160127878,0.007879241490981018,29.98427697457373,5.996855394914746,0.011712608193192864,12.780907487015684
encoder,encoder,bert_base,768,12,12,64,12,3072,1,512,512,,prefill,512,5,float16,cuda,model.final_norm,5,0.16786782070994377,0.16540405340492725,0.17151609063148499,0.002320755832843803,0.8393391035497189,0.16786782070994377,0.00032786683732410893,0.35777135602770826
