architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,attn.k_proj,120,0.7676801915901402,0.671326881274581,0.9188798721879721,0.09325239129562647,92.12162299081683,1.3977208410319324
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,attn.matmul_qk,120,14.330134346770743,14.180372934788465,14.52533295378089,0.09647008327618978,1719.6161216124892,26.090978575050464
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,attn.out_projection,120,0.7809158899666121,0.6789430044591427,0.9041279554367065,0.09055283464987687,93.70990679599345,1.4218191721717361
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,attn.q_proj,120,0.7674714472765723,0.6651519797742367,0.9041908197104931,0.09119733403609444,92.09657367318869,1.3973407787602767
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,attn.softmax,120,27.371634752489626,27.241322910413146,27.54525886848569,0.0927920820546251,3284.596170298755,49.83573207408526
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,attn.v_proj,120,0.7649887178558856,0.6704949773848057,0.9221748914569616,0.09202556884788114,91.79864614270627,1.392820455464258
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,attn.weighted_sum,120,3.969257790595293,3.8658848498016596,4.100925056263804,0.08994190532154776,476.31093487143517,7.226856180633876
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,block.norm1,120,0.3748591387799631,0.3595198504626751,0.4376322031021118,0.012394072350907604,44.98309665359557,0.6825087275454524
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,block.norm2,120,0.3905541399338593,0.3762240521609783,0.42268820106983185,0.009476478574699502,46.86649679206312,0.7110847289235539
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,ff.gelu,120,0.7559954596217722,0.6562559865415096,0.9111028630286455,0.0903588754373808,90.71945515461266,1.3764463655759085
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,ff.linear1,120,2.6590808663362018,2.5488941464573145,2.8012460097670555,0.09283445605926968,319.0897039603442,4.841407640294636
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,ff.linear2,120,1.9754240696784109,1.8678710330277681,2.1219828631728888,0.09133876020217477,237.0508883614093,3.5966687981702683
encoder,encoder,bert_large,1024,16,16,64,24,4096,1,4096,4096,,float16,cuda,model.final_norm,5,0.37720282562077045,0.3705909475684166,0.3864311147481203,0.0053873142783339625,1.8860141281038523,0.028615662292382816
