architecture,shape_name,seq_len,prefill_ms,decode_ms_per_token,prefill_to_decode_ratio
decoder,gpt2_medium,128,68.126112,65.909562,1.033630
decoder,gpt3_2p7b,128,264.289478,194.863584,1.356279
decoder,llama_7b,128,489.418113,374.807948,1.305784
decoder,gpt2_medium,256,89.861005,68.636059,1.309239
decoder,gpt3_2p7b,256,403.268384,177.464868,2.272384
decoder,llama_7b,256,536.290676,365.392552,1.467711
decoder,gpt2_medium,512,203.299977,67.331579,3.019385
decoder,gpt3_2p7b,512,449.711178,151.349949,2.971334
decoder,llama_7b,512,634.555945,344.989006,1.839351
decoder,gpt2_medium,1024,335.749214,72.243164,4.647488
decoder,gpt3_2p7b,1024,647.879277,136.756097,4.737480
decoder,llama_7b,1024,1201.867388,332.818625,3.611178
decoder,gpt2_medium,2048,779.039891,74.294587,10.485823
decoder,gpt3_2p7b,2048,2363.725596,156.305646,15.122458
decoder,llama_7b,2048,3536.566430,365.114815,9.686176
decoder,gpt2_medium,4096,2086.956476,84.933614,24.571620
decoder,gpt3_2p7b,4096,5977.475866,248.934637,24.012230
decoder,llama_7b,4096,7793.266764,424.859684,18.343154
decoder,gpt2_medium,8192,6323.929693,113.360226,55.786142
decoder,gpt3_2p7b,8192,18197.389502,315.642225,57.651949
decoder,llama_7b,8192,21861.823312,464.347871,47.080701
encoder_decoder,bart_large,128,83.606119,52.006994,1.607594
encoder_decoder,t5_base,128,73.219506,46.096187,1.588407
encoder_decoder,t5_large,128,162.893198,100.269165,1.624559
encoder_decoder,bart_large,256,104.397515,51.595174,2.023397
encoder_decoder,t5_base,256,81.735708,46.542225,1.756162
encoder_decoder,t5_large,256,206.740772,101.690277,2.033044
encoder_decoder,bart_large,512,227.638539,54.735668,4.158870
encoder_decoder,t5_base,512,139.579794,48.575004,2.873490
encoder_decoder,t5_large,512,462.698599,106.574610,4.341546
encoder_decoder,bart_large,1024,386.556228,57.488813,6.724025
encoder_decoder,t5_base,1024,332.561815,50.821611,6.543709
encoder_decoder,t5_large,1024,713.647595,114.760567,6.218579
encoder_decoder,bart_large,2048,863.373625,60.595463,14.248156
encoder_decoder,t5_base,2048,656.871374,56.302945,11.666732
encoder_decoder,t5_large,2048,1695.021411,126.193707,13.431901
encoder_decoder,bart_large,4096,2293.424738,72.195573,31.766833
encoder_decoder,t5_base,4096,1702.281182,62.373826,27.291595
encoder_decoder,t5_large,4096,4591.648754,151.802551,30.247507
encoder_decoder,bart_large,8192,6831.901906,114.639684,59.594564
encoder_decoder,t5_base,8192,5136.933374,80.156188,64.086547
encoder_decoder,t5_large,8192,13645.117072,279.110335,48.887896
