architecture,shape_name,seq_len,generated_token_label,generated_tokens,prefill_ms,decode_ms_per_token,total_decode_ms,prefill_to_total_decode_ratio
decoder,gpt2_medium,128,1 token,1,68.126112,65.909562,65.909562,1.033630
decoder,gpt2_medium,128,13 tokens,13,68.126112,65.909562,856.824304,0.079510
decoder,gpt2_medium,128,32 tokens,32,68.126112,65.909562,2109.105978,0.032301
decoder,gpt2_medium,128,64 tokens,64,68.126112,65.909562,4218.211956,0.016150
decoder,gpt2_medium,128,96 tokens,96,68.126112,65.909562,6327.317934,0.010767
decoder,gpt2_medium,128,128 tokens,128,68.126112,65.909562,8436.423912,0.008075
decoder,gpt2_medium,256,1 token,1,89.861005,68.636059,68.636059,1.309239
decoder,gpt2_medium,256,26 tokens,26,89.861005,68.636059,1784.537522,0.050355
decoder,gpt2_medium,256,64 tokens,64,89.861005,68.636059,4392.707746,0.020457
decoder,gpt2_medium,256,128 tokens,128,89.861005,68.636059,8785.415491,0.010228
decoder,gpt2_medium,256,192 tokens,192,89.861005,68.636059,13178.123237,0.006819
decoder,gpt2_medium,256,256 tokens,256,89.861005,68.636059,17570.830983,0.005114
decoder,gpt2_medium,512,1 token,1,203.299977,67.331579,67.331579,3.019385
decoder,gpt2_medium,512,51 tokens,51,203.299977,67.331579,3433.910513,0.059204
decoder,gpt2_medium,512,128 tokens,128,203.299977,67.331579,8618.442071,0.023589
decoder,gpt2_medium,512,256 tokens,256,203.299977,67.331579,17236.884142,0.011794
decoder,gpt2_medium,512,384 tokens,384,203.299977,67.331579,25855.326213,0.007863
decoder,gpt2_medium,512,512 tokens,512,203.299977,67.331579,34473.768284,0.005897
decoder,gpt2_medium,1024,1 token,1,335.749214,72.243164,72.243164,4.647488
decoder,gpt2_medium,1024,102 tokens,102,335.749214,72.243164,7368.802701,0.045564
decoder,gpt2_medium,1024,256 tokens,256,335.749214,72.243164,18494.249917,0.018154
decoder,gpt2_medium,1024,512 tokens,512,335.749214,72.243164,36988.499835,0.009077
decoder,gpt2_medium,1024,768 tokens,768,335.749214,72.243164,55482.749752,0.006051
decoder,gpt2_medium,1024,1024 tokens,1024,335.749214,72.243164,73976.999669,0.004539
decoder,gpt2_medium,2048,1 token,1,779.039891,74.294587,74.294587,10.485823
decoder,gpt2_medium,2048,205 tokens,205,779.039891,74.294587,15230.390386,0.051150
decoder,gpt2_medium,2048,512 tokens,512,779.039891,74.294587,38038.828671,0.020480
decoder,gpt2_medium,2048,1024 tokens,1024,779.039891,74.294587,76077.657342,0.010240
decoder,gpt2_medium,2048,1536 tokens,1536,779.039891,74.294587,114116.486013,0.006827
decoder,gpt2_medium,2048,2048 tokens,2048,779.039891,74.294587,152155.314684,0.005120
decoder,gpt2_medium,4096,1 token,1,2086.956476,84.933614,84.933614,24.571620
decoder,gpt2_medium,4096,410 tokens,410,2086.956476,84.933614,34822.781820,0.059931
decoder,gpt2_medium,4096,1024 tokens,1024,2086.956476,84.933614,86972.020936,0.023996
decoder,gpt2_medium,4096,2048 tokens,2048,2086.956476,84.933614,173944.041872,0.011998
decoder,gpt2_medium,4096,3072 tokens,3072,2086.956476,84.933614,260916.062808,0.007999
decoder,gpt2_medium,4096,4096 tokens,4096,2086.956476,84.933614,347888.083744,0.005999
decoder,gpt2_medium,8192,1 token,1,6323.929693,113.360226,113.360226,55.786142
decoder,gpt2_medium,8192,819 tokens,819,6323.929693,113.360226,92842.024850,0.068115
decoder,gpt2_medium,8192,2048 tokens,2048,6323.929693,113.360226,232161.742239,0.027239
decoder,gpt2_medium,8192,4096 tokens,4096,6323.929693,113.360226,464323.484478,0.013620
decoder,gpt2_medium,8192,6144 tokens,6144,6323.929693,113.360226,696485.226717,0.009080
decoder,gpt2_medium,8192,8192 tokens,8192,6323.929693,113.360226,928646.968956,0.006810
encoder_decoder,t5_base,128,1 token,1,73.219506,46.096187,46.096187,1.588407
encoder_decoder,t5_base,128,13 tokens,13,73.219506,46.096187,599.250430,0.122185
encoder_decoder,t5_base,128,32 tokens,32,73.219506,46.096187,1475.077980,0.049638
encoder_decoder,t5_base,128,64 tokens,64,73.219506,46.096187,2950.155961,0.024819
encoder_decoder,t5_base,128,96 tokens,96,73.219506,46.096187,4425.233941,0.016546
encoder_decoder,t5_base,128,128 tokens,128,73.219506,46.096187,5900.311922,0.012409
encoder_decoder,t5_base,256,1 token,1,81.735708,46.542225,46.542225,1.756162
encoder_decoder,t5_base,256,26 tokens,26,81.735708,46.542225,1210.097839,0.067545
encoder_decoder,t5_base,256,64 tokens,64,81.735708,46.542225,2978.702373,0.027440
encoder_decoder,t5_base,256,128 tokens,128,81.735708,46.542225,5957.404746,0.013720
encoder_decoder,t5_base,256,192 tokens,192,81.735708,46.542225,8936.107120,0.009147
encoder_decoder,t5_base,256,256 tokens,256,81.735708,46.542225,11914.809493,0.006860
encoder_decoder,t5_base,512,1 token,1,139.579794,48.575004,48.575004,2.873490
