architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.apply_causal_mask,60,0.2920499963996311,0.27600699104368687,0.34205708652734756,0.012723206498202098,17.522999783977866,3.5045999567955732,0.027379687162465416,3.9509307851683912
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.k_proj,120,0.19588557964501283,0.1763568725436926,0.2323260996490717,0.008469784800572451,23.506269557401538,4.701253911480308,0.0367285461834399,5.299985458181731
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.matmul_qk,120,0.241020197669665,0.22871000692248344,0.2829199656844139,0.010397488376522821,28.922423720359802,5.7844847440719604,0.04519128706306219,6.521171926449325
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.out_projection,120,0.1954631666497638,0.18758908845484257,0.23571890778839588,0.007789059404927453,23.455579997971654,4.691115999594331,0.03664934374683071,5.288556425293123
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.q_proj,120,0.18760321933465698,0.17587700858712196,0.2214780542999506,0.009863210451517206,22.51238632015884,4.502477264031768,0.035175603625248186,5.075893468950787
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.softmax,120,0.104945773879687,0.08851406164467335,0.13936404138803482,0.011036012601002227,12.593492865562439,2.518698573112488,0.01967733260244131,2.8394692272292037
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.v_proj,120,0.19506693352013826,0.17760484479367733,0.23181410506367683,0.008308730559793316,23.40803202241659,4.681606404483318,0.036575050035025924,5.277835728910721
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,attn.weighted_sum,120,0.15893877910760543,0.15053199604153633,0.19725412130355835,0.0059645957883014585,19.07265349291265,3.81453069858253,0.029801021082676016,4.300332977741547
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,block.norm1,120,0.14403967070393264,0.13597216457128525,0.1871089916676283,0.00605123168313365,17.284760484471917,3.4569520968943834,0.02700743825698737,3.897214698068073
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,block.norm2,120,0.15228786505758762,0.14624395407736301,0.18800492398440838,0.005138521556338707,18.274543806910515,3.654908761382103,0.02855397469829768,4.120382274823084
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,block.norm3,60,0.14745520505433282,0.13616308569908142,0.17168489284813404,0.005911583919589363,8.847312303259969,1.7694624606519938,0.013823925473843701,1.9948136150129983
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,cross_attn.k_proj,60,0.1953642504910628,0.1765168271958828,0.21466217003762722,0.007373498868103617,11.721855029463768,2.3443710058927536,0.018315398483537138,2.6429400482864174
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,cross_attn.matmul_qk,60,0.24382215924561024,0.23370306007564068,0.2955279778689146,0.00966359563085326,14.629329554736614,2.925865910947323,0.02285832742927596,3.2984916519277454
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,cross_attn.out_projection,60,0.19242812801773349,0.18835696391761303,0.19824504852294922,0.002518891249184226,11.54568768106401,2.309137536212802,0.018040137001662515,2.6032193949328457
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,cross_attn.q_proj,60,0.18645574261123934,0.17696409486234188,0.20586210303008556,0.008764689438514793,11.187344556674361,2.2374689113348722,0.01748022586980369,2.522423361191008
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,cross_attn.softmax,60,0.09359402659659584,0.08768192492425442,0.1178588718175888,0.0039050951084606774,5.615641595795751,1.1231283191591501,0.00877443999343086,1.266165127707657
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,128,128,128,prefill,128,5,float16,cuda,cross_attn.v_proj,60,0.19776476547122002,0.18118880689144135,0.22074184380471706,0.006481416794207616,11.865885928273201,2.37317718565464,0.018540446762926877,2.675414859627908
