architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.apply_causal_mask,60,0.5344489744553963,0.4280530847609043,0.6760591641068459,0.0551972656502424,32.06693846732378,1.5360910932956908
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.cache_concat,60,0.5689423298463225,0.512491911649704,0.7853920105844736,0.04589913083797611,34.13653979077935,1.6352304658576389
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.k_proj,120,0.4309505457058549,0.2693489659577608,0.7588670123368502,0.10891325537433913,51.71406548470259,2.4772403973054242
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.matmul_qk,120,3.328395045051972,0.37106615491211414,7.362196920439601,2.888236721283738,399.40740540623665,19.13267020068176
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.out_projection,120,0.41634753385248285,0.23530516773462296,0.7629632018506527,0.13609570551402472,49.96170406229794,2.3932976543481046
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.q_proj,120,0.4313065631625553,0.27450080960989,0.7580670062452555,0.10620038216019521,51.756787579506636,2.4792868985447707
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.softmax,120,6.746955068471531,0.13624201528728008,16.123484820127487,6.635592920702682,809.6346082165837,38.783637289625986
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.v_proj,120,0.4323023507216324,0.27440395206213,0.793584156781435,0.11200337578308965,51.87628208659589,2.4850110012128384
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,attn.weighted_sum,120,0.8870150311850011,0.21562608890235424,1.736144069582224,0.6252941255172871,106.44180374220014,5.098843684417597
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,block.norm1,120,0.2924845282298823,0.21226610988378525,0.3728910814970732,0.037152012946196085,35.09814338758588,1.6812938192969074
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,block.norm2,120,0.3111852682195604,0.22474490106105804,0.5221560131758451,0.04394479269099188,37.342232186347246,1.788791603029975
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,block.norm3,60,0.2668375226979454,0.2115950919687748,0.34102192148566246,0.02979467556062867,16.010251361876726,0.7669333492333397
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,cross_attn.k_proj,60,0.4697577639793356,0.4013029392808676,0.5984031595289707,0.03573356888726082,28.185465838760138,1.3501582971329638
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,cross_attn.matmul_qk,60,0.45905589358881116,0.36524306051433086,0.5605830810964108,0.05098211057652687,27.54335361532867,1.319399424772434
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,cross_attn.out_projection,60,0.28251425828784704,0.22624898701906204,0.3755458164960146,0.03163082175153539,16.950855497270823,0.8119907729773704
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,cross_attn.q_proj,60,0.33888246786470216,0.27261185459792614,0.42789289727807045,0.03578115416877962,20.33294807188213,0.9740019448844057
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,cross_attn.softmax,60,0.17009639414027333,0.13211392797529697,0.26102992706000805,0.02342137859007275,10.2057836484164,0.48888400676011257
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,cross_attn.v_proj,60,0.481839287870874,0.43016509152948856,0.5638469010591507,0.03201897994349192,28.91035727225244,1.3848825124093465
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,cross_attn.weighted_sum,60,0.2754644102727373,0.2217062283307314,0.37116208113729954,0.03103765334655549,16.52786461636424,0.7917283919780743
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,ff.gelu,120,0.33973732497543097,0.14145812019705772,0.7145199924707413,0.16613010644930978,40.768478997051716,1.95291787952871
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,ff.linear1,120,0.9382431007300814,0.21949782967567444,1.9096310716122389,0.6757298557659757,112.58917208760977,5.393318873317028
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,ff.linear2,120,0.8645965329681834,0.22503314539790154,1.7761408817023039,0.5958964718918863,103.751583956182,4.969975047440568
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,model.final_norm,10,0.2650963142514229,0.21258601918816566,0.3332460764795542,0.04725180165125409,2.650963142514229,0.1269881400128283
encoder_decoder,bart,bart_large,1024,16,16,64,12,4096,1,2048,2048,2048,float16,cuda,model.output_head,5,0.740782730281353,0.7322458550333977,0.755443936213851,0.007967541957076243,3.703913651406765,0.17742725193613054
