architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,attn.k_proj,60,0.18401863829543194,0.17609493806958199,0.22463896311819553,0.007493794194688424,11.041118297725916,8.316001783407732
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,attn.matmul_qk,60,0.24359314314400157,0.23225508630275726,0.26716594584286213,0.007598447023724653,14.615588588640094,11.00823825008001
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,attn.out_projection,60,0.1563373526247839,0.14883186668157578,0.1882228534668684,0.007041441324525237,9.380241157487035,7.065054471024309
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,attn.q_proj,60,0.18882933848847946,0.17865491099655628,0.2276790328323841,0.009633947901561773,11.329760309308767,8.533402541045097
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,attn.softmax,60,0.09694294615959127,0.08988706395030022,0.12134318239986897,0.006150458653488602,5.816576769575477,4.38095684556521
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,attn.v_proj,60,0.18506510726486644,0.17603090964257717,0.22758310660719872,0.00878913939333622,11.103906435891986,8.363292850751286
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,attn.weighted_sum,60,0.16404607643683752,0.1541429664939642,0.2031030599027872,0.011191665216062097,9.84276458621025,7.413420058133573
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,block.norm1,60,0.1458104505824546,0.13062404468655586,0.15839911065995693,0.00540925466494114,8.748627034947276,6.589332354130772
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,block.norm2,60,0.15358954357604185,0.14553498476743698,0.17190305516123772,0.005015885147328308,9.215372614562511,6.940878000850037
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,ff.gelu,60,0.10382069352393349,0.0987520907074213,0.12159906327724457,0.003952731298739157,6.229241611436009,4.691769706031407
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,ff.linear1,60,0.2747493252779047,0.25276700034737587,0.3167020622640848,0.007864327898859103,16.48495951667428,12.416219901230757
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,ff.linear2,60,0.3040217290011545,0.29724580235779285,0.31945505179464817,0.004368228169624693,18.24130374006927,13.739071563551855
encoder,bert,bert_base,768,12,12,64,12,3072,1,128,128,,float16,cuda,model.final_norm,5,0.1440182328224182,0.13884715735912323,0.14607910998165607,0.00261680162757055,0.7200911641120911,0.5423616741979547
