architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,attn.k_proj,60,0.18046914289395014,0.1731840893626213,0.20211189985275269,0.006245166687937634,10.828148573637009,2.1656297147274017,0.008459491073153913,7.3723194237695395
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,attn.matmul_qk,60,0.2667039865627885,0.25734491646289825,0.3029450308531523,0.007818631619088747,16.00223919376731,3.200447838753462,0.01250174937013071,10.895086822067073
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,attn.out_projection,60,0.18186125283439955,0.17267209477722645,0.21711993031203747,0.007002581565135856,10.911675170063972,2.1823350340127945,0.008524746226612478,7.4291883099925355
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,attn.q_proj,60,0.18357059840733805,0.1766409259289503,0.23113610222935677,0.00847394285771846,11.014235904440284,2.2028471808880568,0.008604871800343972,7.49901654415617
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,attn.softmax,60,0.1363395364023745,0.13033603318035603,0.15593599528074265,0.0037353262910397077,8.18037218414247,1.636074436828494,0.006390915768861305,5.569587112394132
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,attn.v_proj,60,0.18206014841174087,0.17254403792321682,0.22134510800242424,0.010094469305854168,10.923608904704452,2.1847217809408903,0.008534069456800353,7.437313365082962
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,attn.weighted_sum,60,0.1616664269628624,0.1535681076347828,0.20633707754313946,0.008640411558523901,9.699985617771745,1.939997123554349,0.007578113763884176,6.604212335457846
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,block.norm1,60,0.14516295632347465,0.1327679492533207,0.17884792760014534,0.008765955720704283,8.709777379408479,1.7419554758816957,0.006804513577662874,5.930031391262497
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,block.norm2,60,0.15127554846306643,0.141920056194067,0.1850880216807127,0.0079473534807764,9.076532907783985,1.815306581556797,0.007091041334206238,6.179736027953626
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,ff.gelu,60,0.13263341582690677,0.12617697939276695,0.15929690562188625,0.005158898874544363,7.958004949614406,1.5916009899228811,0.006217191366886254,5.418188905103878
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,ff.linear1,60,0.3259317949414253,0.3192650619894266,0.36646495573222637,0.006647584088223364,19.55590769648552,3.911181539297104,0.015278052887879312,13.314593642652534
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,ff.linear2,60,0.3880082746036351,0.3800331614911556,0.4265289753675461,0.00673408268140328,23.280496476218104,4.656099295243621,0.018187887872045394,15.85047113081611
encoder,bert,bert_base,768,12,12,64,12,3072,1,256,256,,prefill,256,5,float16,cuda,model.final_norm,5,0.14695064164698124,0.14259200543165207,0.14899205416440964,0.002377620934959057,0.7347532082349062,0.14695064164698124,0.0005740259439335205,0.5002549892910966
