architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.apply_causal_mask,120,0.32607150496914983,0.3111341502517462,0.39983796887099743,0.01347144638466287,39.12858059629798,7.636152143266643
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.cache_concat,120,1.3284553424455225,1.3202170375734568,1.372631872072816,0.007919037064258385,159.4146410934627,31.110621308075256
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.k_proj,120,0.20022181949267784,0.17807912081480026,0.24710199795663357,0.009002065196205998,24.02661833912134,4.688923296724174
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.matmul_qk,120,0.33603595026458305,0.32642995938658714,0.3667499404400587,0.006114631551104111,40.324314031749964,7.869505929597603
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.out_projection,120,0.1796947307108591,0.16905507072806358,0.22431905381381512,0.008094947401626482,21.563367685303092,4.208206734229269
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.q_proj,120,0.20570390236874422,0.18403120338916779,0.26425416581332684,0.008509254408865493,24.684468284249306,4.817306238090364
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.softmax,120,0.10213438848343988,0.09295879863202572,0.12511992827057838,0.0031651844550204876,12.256126618012786,2.3918487743749224
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.v_proj,120,0.19955996346349517,0.17475103959441185,0.26198290288448334,0.00938078385607419,23.94719561561942,4.673423526708222
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,attn.weighted_sum,120,0.2888012386392802,0.2639030572026968,0.342109939083457,0.009421112661663362,34.656148636713624,6.763333084324712
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,block.norm1,120,0.1603348064236343,0.14076707884669304,0.21609500981867313,0.009737471051697793,19.240176770836115,3.754823580269347
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,block.norm2,120,0.17122970505928,0.1583669800311327,0.2239658497273922,0.008878181824650309,20.5475646071136,4.009967321134192
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,ff.gelu,120,0.11282711056992412,0.10278401896357536,0.13999897055327892,0.004946821140025245,13.539253268390894,2.6422578148269125
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,ff.linear1,120,0.30079435285491246,0.2898538950830698,0.5427489522844553,0.024144851118266798,36.0953223425895,7.044195543713203
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,ff.linear2,120,0.2973708479354779,0.2777900081127882,0.3352619241923094,0.005552852983926664,35.68450175225735,6.964021704449028
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,model.final_norm,5,0.16841520555317402,0.16111903823912144,0.19078305922448635,0.011427057845347274,0.8420760277658701,0.16433564842436896
decoder,gpt,gpt2_medium,1024,16,16,64,24,4096,1,4096,,4096,float16,cuda,model.output_head,5,1.2923830188810825,1.226360909640789,1.5472548548132181,0.12744817598663216,6.461915094405413,1.261077351791787
