architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.apply_causal_mask,160,0.5798646132461727,0.5501089617609978,0.6549719255417585,0.021674837510259372,92.77833811938763,4.546179879952097
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.cache_concat,160,0.3848070336971432,0.3649899736046791,0.46815816313028336,0.015425235163062831,61.56912539154291,3.016914559528949
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.k_proj,160,0.851013683131896,0.8193550165742636,1.0621380060911179,0.0639556956126205,136.16218930110335,6.67200790570693
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.matmul_qk,160,0.49988528771791607,0.4793568514287472,0.577468890696764,0.020757300048795318,79.98164603486657,3.919136269732106
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.out_projection,160,0.8612957812147215,0.8247310761362314,1.065530115738511,0.06512813001056945,137.80732499435544,6.752620287218114
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.q_proj,160,0.8455639079329558,0.8117388933897018,1.1134338565170765,0.06699100846125297,135.29022526927292,6.629281279881315
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.softmax,160,0.19086986139882356,0.1766711939126253,0.27407798916101456,0.010723614782110352,30.53917782381177,1.4964333117740989
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.v_proj,160,0.8508656872436404,0.8157079573720694,1.0819139424711466,0.06689226888452585,136.13850995898247,6.6708476073991285
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,attn.weighted_sum,160,0.30688847036799416,0.2902389969676733,0.386205967515707,0.01791717059705026,49.102155258879066,2.4060274717677115
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,block.norm1,160,0.7760625856462866,0.7231319323182106,0.8541708812117577,0.02591749773206333,124.17001370340586,6.084385961574345
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,block.norm2,160,0.7926085600047372,0.7577559445053339,0.8957709651440382,0.02975991415242302,126.81736960075796,6.214107579352489
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,ff.swiglu_act,160,0.2997591160237789,0.1538870856165886,0.38281315937638283,0.018376851226047913,47.96145856380463,2.3501328257825445
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,ff.w1_gate,160,1.771967942477204,1.7335261218249798,2.049171831458807,0.0685638544831295,283.5148707963526,13.892354911800872
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,ff.w2_up,160,1.7736673296894878,1.729045994579792,1.9816530402749777,0.06567339871433406,283.78677275031805,13.905678228616988
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,ff.w3_down,160,1.802732638316229,1.6752220690250397,2.0511881448328495,0.0685855548454137,288.43722213059664,14.133552318990894
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,model.final_norm,5,0.8034643717110157,0.7752920500934124,0.8576589170843363,0.029465646207641416,4.0173218585550785,0.19685055989204445
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,128,,128,float16,cuda,model.output_head,5,4.544811928644776,4.494149936363101,4.717347910627723,0.08662253238534075,22.72405964322388,1.113489041029373
