architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.apply_causal_mask,160,0.7998891363968141,0.7588770240545273,1.1353560257703066,0.06164644272743419,127.98226182349026,25.596452364698052,0.09998614204960177,4.723463842038493
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.k_proj,160,1.198792531795334,1.1656279675662518,1.4773390721529722,0.055833129786497335,191.80680508725345,38.36136101745069,0.14984906647441676,7.079047483440223
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.matmul_qk,160,0.5375318432925269,0.5201578605920076,0.6174379959702492,0.015631429779829724,86.0050949268043,17.20101898536086,0.06719148041156586,3.174205161947571
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.out_projection,160,1.2123164386139251,1.0867160744965076,1.4626190531998873,0.058624826076475615,193.97063017822802,38.794126035645604,0.15153955482674064,7.158908156568584
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.q_proj,160,1.2046082760207355,1.1689879465848207,1.5803789719939232,0.06807370967609108,192.73732416331768,38.547464832663536,0.15057603450259194,7.113390314606766
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.softmax,160,0.35002633230760694,0.27206307277083397,0.6808300968259573,0.0602069780256517,56.00421316921711,11.200842633843422,0.04375329153845087,2.0669573434438213
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.v_proj,160,1.1953836961765774,1.1651800014078617,1.4284108765423298,0.05476435368654601,191.26139138825238,38.252278277650476,0.14942296202207217,7.058917804143438
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,attn.weighted_sum,160,0.3599589050281793,0.26607909239828587,0.41884579695761204,0.013112415857082917,57.593424804508686,11.518684960901737,0.04499486312852241,2.1256106567209336
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,block.norm1,160,0.7771536431391723,0.7410531397908926,0.861309003084898,0.027341988898693385,124.34458290226758,24.868916580453515,0.09714420539239654,4.5892073864287415
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,block.norm2,160,0.7853143644751981,0.7334370166063309,0.8741091005504131,0.023956482096622184,125.6502983160317,25.13005966320634,0.09816429555939976,4.637397654806818
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,ff.swiglu_act,160,0.5193157485336997,0.4959660582244396,0.7850860711187124,0.0567231875497908,83.09051976539195,16.61810395307839,0.06491446856671246,3.0666364239546318
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,ff.w1_gate,160,2.64866072247969,2.602519001811743,2.866100985556841,0.057093431557951435,423.7857155967504,84.75714311935008,0.33108259030996123,15.640733925724804
decoder,llama,llama_7b,4096,32,32,128,32,11008,1,256,,256,prefill,256,5,float16,cuda,ff.w2_up,160,2.6559638397884555,2.6055581402033567,2.8792531229555607,0.058415593387189685,424.9542143661529,84.99084287323058,0.33199547997355694,15.683859915280696
