architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.apply_causal_mask,60,4.817988471283267,4.727680003270507,5.033149849623442,0.07549184269938208,289.079308276996,57.8158616553992,0.028230401198925392,8.886038539257715
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.k_proj,120,0.35294560172284645,0.3403821028769016,0.41542109102010727,0.011404065854244905,42.35347220674157,8.470694441348314,0.004136081270189607,1.3019077309395761
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.matmul_qk,120,3.5069405004226915,3.468233160674572,3.6922309082001448,0.061383524250236646,420.83286005072296,84.16657201014459,0.041096958989328414,12.936024495442425
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.out_projection,120,0.34278137997413677,0.3257249481976032,0.4055651370435953,0.013374428718882503,41.13376559689641,8.226753119379282,0.004016969296571915,1.2644150442223165
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.q_proj,120,0.3657324705272913,0.34662196412682533,0.43145311065018177,0.021289124607234814,43.887896463274956,8.777579292654991,0.004285927388991695,1.3490745557130133
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.softmax,120,9.262313476453224,7.5350848492234945,11.105590034276247,1.6909306152350783,1111.477617174387,222.2955234348774,0.10854273605218623,34.16582459879881
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.v_proj,120,0.35574593930505216,0.34220493398606777,0.4283490125089884,0.01676128790775115,42.68951271660626,8.537902543321252,0.00416889772623108,1.3122373146763275
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,attn.weighted_sum,120,0.9588873809358726,0.9206980466842651,1.1448559816926718,0.06409121726928943,115.06648571230471,23.013297142460942,0.011236961495342257,3.537040519125432
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,block.norm1,120,0.28299509625261027,0.26118289679288864,0.3301408141851425,0.010080289819222831,33.959411550313234,6.791882310062647,0.003316348784210277,1.043881838534932
encoder_decoder,t5,t5_base,768,12,12,64,12,3072,1,2048,2048,2048,prefill,2048,5,float16,cuda,block.norm2,120,0.2990137184193979,0.27913390658795834,0.3623340744525194,0.015038752538207602,35.881646210327744,7.176329242065549,0.003504067012727319,1.1029696071206336
