architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,vocab_size,batch_size,seq_len,phase,phase_tokens,decode_tokens,timed_repeats,dtype,device,name,operation_key,pretty_name,group,count,total_ms,total,avg_ms,avg,min_ms,min,max_ms,max,std_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,block.norm1,block.norm1,LayerNorm (Pre-Attention),Layer Normalization,320,91.23127860948443,0.09123127860948443,0.28509774565463886,0.00028509774565463883,0.17571588978171349,0.00017571588978171349,0.36743422970175743,0.00036743422970175743,0.02258049426289436,91.23127860948443,9.123127860948443,3.701721440103307
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,attn.qkv_projection,attn.qkv_projection,QKV Projection,Self-Attention,320,408.6133558303118,0.4086133558303118,1.2769167369697243,0.0012769167369697243,1.1981748975813389,0.0011981748975813389,1.3741799630224705,0.0013741799630224705,0.023451182154246915,408.6133558303118,40.86133558303118,16.57954205009223
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,attn.matmul_qk,attn.matmul_qk,QK^T MatMul,Self-Attention,320,162.73882472887635,0.16273882472887635,0.5085588272777386,0.0005085588272777386,0.22925389930605888,0.00022925389930605888,19.980547949671745,0.019980547949671745,1.0947216216136229,162.73882472887635,16.273882472887635,6.603149772949348
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,attn.softmax,attn.softmax,Softmax,Self-Attention,320,59.48412977159023,0.05948412977159023,0.18588790553621948,0.00018588790553621947,0.0979546457529068,9.79546457529068e-05,0.2887430600821972,0.0002887430600821972,0.014775258366913473,59.48412977159023,5.948412977159023,2.4135765921238725
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,attn.weighted_sum,attn.weighted_sum,Attention Weighted Sum,Self-Attention,320,123.76922741532326,0.12376922741532326,0.3867788356728852,0.00038677883567288517,0.2577994018793106,0.0002577994018793106,10.74437377974391,0.01074437377974391,0.5805487788581483,123.76922741532326,12.376922741532326,5.02195310349069
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,attn.out_projection,attn.out_projection,Output Projection,Self-Attention,320,193.62679589539766,0.19362679589539766,0.6050837371731177,0.0006050837371731177,0.5502859130501747,0.0005502859130501747,0.7496839389204979,0.0007496839389204979,0.01750190641454042,193.62679589539766,19.362679589539766,7.856433370977514
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,block.norm2,block.norm2,LayerNorm (Pre-FFN),Layer Normalization,320,91.65348391979933,0.09165348391979933,0.2864171372493729,0.0002864171372493729,0.21815020591020584,0.00021815020591020584,0.3681378439068794,0.0003681378439068794,0.018835615841509803,91.65348391979933,9.165348391979933,3.718852477540676
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,ff.linear1,ff.linear1,FFN Linear 1,Feed Forward Network,320,529.996536206454,0.529996536206454,1.6562391756451689,0.0016562391756451689,1.585481222718954,0.001585481222718954,1.9062249921262264,0.0019062249921262264,0.026010081870652076,529.996536206454,52.999653620645404,21.504680973000852
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,ff.gelu,ff.gelu,GELU Activation,Feed Forward Network,320,73.70691373944283,0.07370691373944283,0.23033410543575883,0.00023033410543575882,0.11517107486724854,0.00011517107486724854,0.30410289764404297,0.00030410289764404297,0.017415453862566266,73.70691373944283,7.3706913739442825,2.9906679708068427
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,ff.linear2,ff.linear2,FFN Linear 2,Feed Forward Network,320,507.7953413128853,0.5077953413128853,1.5868604416027665,0.0015868604416027666,1.481509767472744,0.001481509767472744,1.866800244897604,0.001866800244897604,0.02759195365089026,507.7953413128853,50.77953413128853,20.603864494419877
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,model.output_head,model.output_head,Output Head Projection,Model Output,10,44.29432284086943,0.04429432284086943,4.429432284086943,0.004429432284086943,4.387889057397842,0.004387889057397842,4.692728631198406,0.004692728631198406,0.08805300110883124,44.29432284086943,4.429432284086943,1.7972481262348339
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,decode,10,10,1,cuda_autocast_float16,cuda,attn.cache_concat,attn.cache_concat,KV Cache Concat,Self-Attention,320,177.6533741503954,0.1776533741503954,0.5551667942199856,0.0005551667942199856,0.35488978028297424,0.00035488978028297424,10.886617004871368,0.010886617004871368,1.1791464732408117,177.6533741503954,17.76533741503954,7.208309628259957
