architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,vocab_size,batch_size,seq_len,phase,phase_tokens,decode_tokens,timed_repeats,dtype,device,name,operation_key,pretty_name,group,count,total_ms,total,avg_ms,avg,min_ms,min,max_ms,max,std_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total,source_operations
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,block.norm1,block.norm1,LayerNorm (Pre-Attention),Layer Normalization,320,92.21654059365392,0.09221654059365392,0.2881766893551685,0.0002881766893551685,0.25469623506069183,0.00025469623506069183,0.36745285615324974,0.00036745285615324974,0.017259441457168356,92.21654059365392,9.221654059365392,2.8198540270040477,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.q_proj,attn.q_proj,Q Projection,Self-Attention,320,179.82181115075946,0.17982181115075946,0.5619431598461233,0.0005619431598461233,0.4641171544790268,0.0004641171544790268,0.8292342536151409,0.0008292342536151409,0.049084999034339785,179.82181115075946,17.982181115075946,5.498701806121814,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.k_proj,attn.k_proj,K Projection,Self-Attention,320,181.6657967865467,0.1816657967865467,0.5677056149579585,0.0005677056149579584,0.4694289527833462,0.0004694289527833462,0.7768231444060802,0.0007768231444060802,0.0486208682266669,181.6657967865467,18.16657967865467,5.555088331655501,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.v_proj,attn.v_proj,V Projection,Self-Attention,320,181.4683205448091,0.1814683205448091,0.5670885017025284,0.0005670885017025285,0.4688841290771961,0.0004688841290771961,0.7796389982104301,0.0007796389982104301,0.04859338811635601,181.4683205448091,18.14683205448091,5.549049781825756,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.matmul_qk,attn.matmul_qk,QK^T MatMul,Self-Attention,320,243.32950823009014,0.24332950823009014,0.7604047132190317,0.0007604047132190317,0.6490587256848812,0.0006490587256848812,2.6970268227159977,0.0026970268227159977,0.12247575566270177,243.32950823009014,24.332950823009014,7.440679180267942,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.apply_causal_mask,attn.apply_causal_mask,Causal Mask,Self-Attention,320,178.83066041395068,0.17883066041395068,0.5588458137935959,0.0005588458137935959,0.499185174703598,0.000499185174703598,0.6889910437166691,0.0006889910437166691,0.018357714999661646,178.83066041395068,17.883066041395068,5.4683937900265915,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.softmax,attn.softmax,Softmax,Self-Attention,320,57.25324433296919,0.05725324433296919,0.17891638854052871,0.0001789163885405287,0.15726499259471893,0.00015726499259471893,0.2548559568822384,0.0002548559568822384,0.007174184663367297,57.25324433296919,5.725324433296919,1.7507248759500753,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.weighted_sum,attn.weighted_sum,Attention Weighted Sum,Self-Attention,320,199.52706480398774,0.19952706480398774,0.6235220775124617,0.0006235220775124617,0.5158558487892151,0.0005158558487892151,1.096953172236681,0.001096953172236681,0.06201976904529085,199.52706480398774,19.952706480398774,6.101261157291141,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,attn.out_projection,attn.out_projection,Output Projection,Self-Attention,320,184.6957365050912,0.1846957365050912,0.57717417657841,0.00057717417657841,0.47957058995962143,0.00047957058995962143,0.807636883109808,0.000807636883109808,0.05079047801928182,184.6957365050912,18.46957365050912,5.647739689664751,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,4096,decode,10,10,1,float32,cuda,block.norm2,block.norm2,LayerNorm (Pre-FFN),Layer Normalization,320,97.10198687389493,0.09710198687389493,0.30344370898092166,0.00030344370898092163,0.2686786465346813,0.0002686786465346813,0.37590088322758675,0.00037590088322758675,0.013825382106608743,97.10198687389493,9.710198687389493,2.9692442044967566,
